sitting_date,no,name,job_title,constituency,category,status
2026-03-12,1,Dato Awang Bemee bin Awang Ali Basah,Yang Berhormat Yang di-Pertua Dewan Negara,,Ahli Dewan Negara,Hadir
2026-03-12,2,Datuk Nur Jazlan bin Tan Sri Mohamed,Timbalan Yang di-Pertua Dewan Negara,,Ahli Dewan Negara,Hadir
2026-03-12,3,Dato’ Seri Diraja Dr. Zambry bin Abdul Kadir,Menteri Pendidikan Tinggi,,Ahli Dewan Negara,Hadir
2026-03-12,4,Datuk Seri Amir Hamzah Azizan,Menteri Kewangan II,,Ahli Dewan Negara,Hadir
2026-03-12,5,Dr. Zulkifli bin Hasan,Timbalan Menteri di Jabatan Perdana Menteri (Hal Ehwal Agama),,Ahli Dewan Negara,Hadir
2026-03-12,6,Puan Marhamah binti Rosli,Timbalan Menteri di Jabatan Perdana Menteri (Hal Ehwal Agama) (Dilantik),,Ahli Dewan Negara,Hadir
2026-03-12,7,Puan Rita Sarimah anak Patrick Insol.,,,Ahli Dewan Negara,Hadir
2026-03-12,8,Tuan Manolan bin Mohamad,,,Ahli Dewan Negara,Hadir
2026-03-12,9,Puan Susan Chemerai Anding,,,Ahli Dewan Negara,Hadir
2026-03-12,10,Dato' Sri Vell Paari a/l Tun Samy Vellu,,,Ahli Dewan Negara,Hadir
2026-03-12,11,Tuan Robert Lau Hui Yew.,,,Ahli Dewan Negara,Hadir
2026-03-12,12,Tan Sri Dato' Low Kian Chuan,,,Ahli Dewan Negara,Hadir
2026-03-12,13,Tuan Mohd Hasbie bin Muda,,,Ahli Dewan Negara,Hadir
2026-03-12,14,Dato’ Setia Dr. Haji Mohd Na’imbin Haji Mokhtar,,,Ahli Dewan Negara,Hadir
2026-03-12,15,Puan Saraswathy a/p Kandasami,,,Ahli Dewan Negara,Hadir
2026-03-12,16,Datuk Seri Prof. Emeritus Dr. Awang bin Sariyan,,,Ahli Dewan Negara,Hadir
2026-03-12,17,Tuan Abun Sui Anyit,,,Ahli Dewan Negara,Hadir
2026-03-12,18,Tuan Pele Peter Tinggom,,,Ahli Dewan Negara,Hadir
2026-03-12,19,Dato’ Setia Salehuddin bin Saidin,,,Ahli Dewan Negara,Hadir
2026-03-12,20,Datuk Nelson W. Angang,,,Ahli Dewan Negara,Hadir
2026-03-12,21,Tuan Roderick Wong Siew Lead,,,Ahli Dewan Negara,Hadir
2026-03-12,22,Dato' Sivaraj a/l Chandran,,,Ahli Dewan Negara,Hadir
2026-03-12,23,Datuk Anna Bell @ Suzieana binti Perian,,,Ahli Dewan Negara,Hadir
2026-03-12,24,Puan Noorita binti Sual,,,Ahli Dewan Negara,Hadir
2026-03-12,25,Datuk Rosni binti Sohar,,,Ahli Dewan Negara,Hadir
2026-03-12,26,Dato’ Leong Ngah Ngah,,,Ahli Dewan Negara,Hadir
2026-03-12,27,Tuan Niran Tan Kran,,,Ahli Dewan Negara,Hadir
2026-03-12,28,Datuk Bobbey Ah Fang bin Suan,,Sabah,Ahli Dewan Negara,Hadir
2026-03-12,29,Datuk Linggu @ Edward bin Bukut,,Sabah,Ahli Dewan Negara,Hadir
2026-03-12,30,Tan Sri Datuk Seri Panglima Anifah bin Aman,,Wilayah Persekutuan Labuan,Ahli Dewan Negara,Hadir
2026-03-12,31,Dato’ Haji Abdul Halim bin Haji Suleiman,,Johor,Ahli Dewan Negara,Hadir
2026-03-12,32,Datuk Wira Koh Nai Kwong,,Melaka,Ahli Dewan Negara,Hadir
2026-03-12,33,Dato’ Ahmad bin Dato’ Sri Haji Ibrahim,,Sarawak,Ahli Dewan Negara,Hadir
2026-03-12,34,Dato’ Ng Keng Heng,,Johor,Ahli Dewan Negara,Hadir
2026-03-12,35,Datuk Dr. Haji Mustafa bin Musa,,Melaka,Ahli Dewan Negara,Hadir
2026-03-12,36,Datuk Wira Dr. Mohd Hatta bin Md Ramli,,,Ahli Dewan Negara,Hadir
2026-03-12,37,Tuan Michael Mujah Lihan,,Sarawak,Ahli Dewan Negara,Hadir
2026-03-12,38,Tuan Isaiah a/l D. Jacob.,,Wilayah Persekutuan Kuala Lumpur,Ahli Dewan Negara,Hadir
2026-03-12,39,Dr. Hajah Wan Martina binti Wan Yusoff,,Kelantan,Ahli Dewan Negara,Hadir
2026-03-12,40,Tuan Haji Abdul Nasir bin Haji Idris,,Kedah,Ahli Dewan Negara,Hadir
2026-03-12,41,Puan Hajah Norhasmimi binti Abdul Ghani,,Pahang,Ahli Dewan Negara,Hadir
2026-03-12,42,Tuan Nik Mohamad Abduh bin Nik Abdul Aziz,,Kelantan,Ahli Dewan Negara,Hadir
2026-03-12,43,Datuk Seri Dr. Mujahid bin Yusof,,Perak,Ahli Dewan Negara,Hadir
2026-03-12,44,Tuan Musoddak bin Ahmad,,Kedah,Ahli Dewan Negara,Hadir
2026-03-12,45,Tuan Shahrol Wizan bin Sulong,,Pahang,Ahli Dewan Negara,Hadir
2026-03-12,46,Tuan Haji Hussin bin Ismail.,,Terengganu,Ahli Dewan Negara,Hadir
2026-03-12,47,Tuan Haji Baharuddin bin Ahmad.,,Perlis,Ahli Dewan Negara,Hadir
2026-03-12,48,Dato' Prof. Emeritus Dr. Mohammad Redzuan bin Othman,,Selangor,Ahli Dewan Negara,Hadir
2026-03-12,49,Dr. Jufitri bin Joha,,Negeri Sembilan,Ahli Dewan Negara,Hadir
2026-03-12,50,Tuan Che Alias bin Hamid,,Terengganu,Ahli Dewan Negara,Hadir
2026-03-12,51,Tuan Azahar bin Hassan,,Perlis,Ahli Dewan Negara,Hadir
2026-03-12,52,Puan Tiew Way Keng,,Selangor,Ahli Dewan Negara,Hadir
2026-03-12,53,Dato’ Wu Him Ven,,Negeri Sembilan,Ahli Dewan Negara,Hadir
2026-03-12,1,Datuk Seri Saifuddin Nasution bin Ismail,Menteri Dalam Negeri,,Ahli Dewan Negara,Tidak Hadir
2026-03-12,2,Datuk Dr. Hajah Fuziah binti Salleh,Timbalan Menteri Perdagangan Dalam Negeri dan Kos Sara Hidup,,Ahli Dewan Negara,Tidak Hadir
2026-03-12,1,Dato’ Shamsuddin bin Haji Abd Ghaffar,,,Ahli Dewan Negara,Tidak Hadir (Peraturan Mesyuarat 83)
2026-03-12,1,Datuk Seri Dr. Haji Dzulkefly Ahmad,Menteri Kesihatan,Kuala Selangor,Ahli Dewan Rakyat (Hadir Bersama),Hadir Bersama
2026-03-12,2,Tuan Syed Ibrahim bin Syed Noh,Timbalan Menteri Sumber Asli dan Kelestarian Alam,Ledang,Ahli Dewan Rakyat (Hadir Bersama),Hadir Bersama
2026-03-12,3,Datuk Chan Foong Hin,Timbalan Menteri Pertanian dan Keterjaminan Makanan,Kota Kinabalu,Ahli Dewan Rakyat (Hadir Bersama),Hadir Bersama
2026-03-12,4,Tuan Haji Adly bin Zahari,Timbalan Menteri Pertahanan,Alor Gajah,Ahli Dewan Rakyat (Hadir Bersama),Hadir Bersama
2026-03-12,5,Datuk Khairul Firdaus Bin Akbar Khan,Timbalan Menteri Sumber Manusia,Batu Sapi,Ahli Dewan Rakyat (Hadir Bersama),Hadir Bersama
2026-03-12,6,Puan Lim Hui Ying,"Timbalan Menteri Pembangunan Wanita, Keluarga dan Masyarakat",Tanjong,Ahli Dewan Rakyat (Hadir Bersama),Hadir Bersama
2026-03-12,7,Tuan Chiew Choon Man,"Timbalan Menteri Pelancongan, Seni dan Budaya",Miri,Ahli Dewan Rakyat (Hadir Bersama),Hadir Bersama
2026-03-12,8,Datuk Lo Su Fui,Timbalan Menteri di Jabatan Perdana Menteri (Wilayah Persekutuan),Tawau,Ahli Dewan Rakyat (Hadir Bersama),Hadir Bersama
