index,page,topic,timestamp,role,speaker_display,portfolio,constituency,person_name,speech
1,3,"UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M.17) APAKAH STATUS PELAKSANAAN PERKHIDMATAN MAKMAL PATOLOGI, KLINIK KESIHATAN SIMPANGAN DAN PEJABAT KESIHATAN KAWASAN TUARAN",2.33 ptg.,member,Datuk Seri Panglima Madius bin Tangau [Tuaran],,Tuaran,Datuk Seri Panglima Madius bin Tangau,"Puan Yang diPertua, Pusat Khidmat Rakyat Parlimen Tuaran dimaklumkan bahawa Klinik Kesihatan Simpangan Jenis 6, yang terletak di Pekan Nabalu telah diberikan kelulusan oleh kerajaan untuk membina Makmal Patologi dan bangunan tersebut telah disiapkan pada tahun 2022 dengan kos sebanyak RM50,000. Namun, sehingga 31 Disember 2025, perkhidmatan Makmal Patologi masih belum disediakan. Justeru, pesakit-pesakit yang memerlukan ujian-ujian Makmal Patologi terpaksa pergi ke Klinik Kesihatan Tamparuli iaitu sejauh 40 kilometer dari Klinik Kesihatan Simpangan. Sebaliknya, ruang makmal yang telah siap dibina itu tidak digunakan untuk memberikan perkhidmatan Makmal Patologi. Klinik Kesihatan Simpangan mempunyai perjawatan Pegawai Perubatan dan amat memerlukan keputusan ujian Makmal Patologi bagi membolehkan pendiagnosisan dan perawatan penyakit dibuat dengan tepat. Untuk makluman, Klinik Kesihatan Simpangan terletak di laluan pelancongan utama di Sabah, iaitu jalan Tamparuli – Kundasang, termasuk menjadi lokasi tumpuan pendaki Gunung Kinabalu, selain memberikan perkhidmatan kepada hampir 20 buah kampung termasuk Pekan Nabalu. Namun sehingga kini, makmal tersebut masih tidak dibekalkan peralatan untuk beroperasi sebagai sebuah Makmal Patologi. Pusat Khidmat Rakyat Parlimen Tuaran juga dimaklumkan bahawa peralatan makmal seperti ini telah diswastakan kepada sebuah syarikat bernama Quantum Medical Solutions Sdn. Bhd. (QMS). Syarikat ini dikatakan telah selesai membekalkan peralatan kepada sebahagian besar makmal di Sabah namun dilaporkan bahawa banyak peralatan tersebut tidak digunakan sepenuhnya. Selain daripada faktor tersebut, Pusat Khidmat Rakyat Parlimen Tuaran turut dimaklumkan bahawa antara sebab-sebab lain perkhidmatan Makmal Patologi tidak dapat disediakan sehingga kini ialah: (i) tidak diberikan kelulusan perjawatan Juruteknologi Makmal Perubatan (JTMP); dan (ii) tidak diberikan peruntukan bagi perolehan peralatan dan inventori Makmal Patologi. Oleh itu, Tuaran mencadangkan agar bagi memastikan makmal ini dapat beroperasi sepenuhnya, Klinik Kesihatan Simpangan ataupun Pekan Nabalu diberikan keutamaan kelulusan perjawatan tetap Juruteknologi Makmal Perubatan atau sekiranya tiada kemampuan kewangan, diberikan kelulusan perjawatan lantikan secara kontrak bagi Juruteknologi Makmal Perubatan. Selain itu, Tuaran juga mencadangkan supaya Klinik Kesihatan Simpangan diberikan keutamaan kelulusan peruntukan perolehan bekalan peralatan dan inventori baharu atau dilaksanakan pemindahan peralatan perolehan di bawah Program Peningkatan Peralatan Perubatan, Medical Equipment Enhancement Tenure (MEET) yang bernilai lebih daripada RM2 bilion dan telah dikuatkuasakan sejak 17 Disember 2014, namun tidak digunakan sepenuhnya. Difahamkan bahawa dalam program MEET tersebut, terdapat Klinik Kesihatan di bawah pentadbiran Pejabat Kesihatan Kawasan Tuaran ataupun PKK Tuaran, seliaan syarikat QMS yang telah dibekalkan kelengkapan peralatan Makmal Patologi tetapi tidak digunakan disebabkan ketiadaan perjawatan Juruteknologi Makmal Perubatan serta ketiadaan Makmal Patologi. Oleh itu, Tuaran mencadangkan agar peralatan tersebut dapat dipindahkan dan digunakan sepenuhnya di Klinik Kesihatan Simpangan. Sekian, terima kasih."
2,4,"UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M.17) APAKAH STATUS PELAKSANAAN PERKHIDMATAN MAKMAL PATOLOGI, KLINIK KESIHATAN SIMPANGAN DAN PEJABAT KESIHATAN KAWASAN TUARAN",,chair,Timbalan Yang di-Pertua [Puan Alice Lau Kiong Yieng],,,Puan Alice Lau Kiong Yieng,Minta Yang Berhormat Menteri untuk menjawab. 2.36 ptg.
3,4,"UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M.17) APAKAH STATUS PELAKSANAAN PERKHIDMATAN MAKMAL PATOLOGI, KLINIK KESIHATAN SIMPANGAN DAN PEJABAT KESIHATAN KAWASAN TUARAN",2.36 ptg.,minister,Timbalan Menteri Kesihatan [Dato Hajjah Hanifah Hajar Taib],Timbalan Menteri Kesihatan,,Dato Hajjah Hanifah Hajar Taib,"Assalamualaikum warahmatullahi wabarakatuh dan salam sejahtera. Puan Yang di-Pertua, KKM sentiasa prihatin dan mengambil maklum akan keperluan mendesak perkhidmatan kesihatan di kawasan pedalaman khususnya bagi penduduk di sekitar Pekan Nabalu, Tuaran dan kawasan pelancongan tanah tinggi di Sabah. Kementerian ingin menjelaskan bahawa fasiliti makmal di Klinik Kesihatan Simpangan telah dilengkapi dengan lima buah unit peralatan utama bagi membolehkan ujian asas dijalankan iaitu FBC analyzer 3-part iaitu peralatan analisis sel darah lengkap secara automatik; bilirubinometer, pengukuran tahap jaundice atau kekuningan pada bayi; mikroskop optikal pemeriksaan urin, malaria dan TB; hematocrit centrifuge, pengasingan sampel untuk diagnosis tahap jaundice; dan peti sejuk makmal. Kementerian telah dimaklumkan terdapat isu bekalan elektrik voltan rendah daripada pihak Sabah Electricity Sdn. Bhd. di premis KK Simpangan. Keadaan bekalan kuasa yang tidak stabil ini menyebabkan peralatan sensitif terutamanya mesin FBC analyzer tidak dapat dihidupkan dan dijalankan kerana ia berisiko tinggi merosakkan peralatan. Oleh itu, pada masa ini, analyzer tersebut ditempatkan di KK Tamparuli. Sebagai langkah mitigasi segera, satu unit uninterruptible power supply (UPS) telah dibekalkan pada 23 Februari 2026 dan pengujian terhadap UPS tersebut dilaksanakan pada 3 Mac 2026. Penggunaan UPS ini adalah bertujuan untuk menstabilkan bekalan voltan serta mengurangkan risiko gangguan terhadap operasi peralatan FBC analyzer. Bagi penyelesaian secara menyeluruh dalam jangka masa panjang, cadangan telah dikemukakan untuk menaik taraf sistem pendawaian bekalan elektrik di KK Simpangan daripada sistem satu fasa kepada sistem tiga fasa. Pihak Sabah Electricity Sdn. Bhd. (SESB) akan memberikan bekalan baharu yang perlu ditarik daripada pencawang elektrik yang terletak kira-kira satu kilometer dari KK Simpangan. Perkara ini kini dalam proses penilaian oleh pihak SESB dan anggaran dilaksanakan pada pertengahan tahun 2026. Puan Yang di-Pertua, demi kepentingan perkhidmatan makmal KK Simpangan telah bermula beroperasi sepenuhnya pada bulan Februari 2026 dengan kekerapan dua kali seminggu bagi ujian makmal asas. ■1440 Juruteknologi Makmal Perubatan dari fasiliti berdekatan akan dijadualkan bertugas di KK Simpangan pada dua hari operasi tersebut bagi mengendalikan peralatan sedia ada. Bagi ujian di luar hari operasi atau bagi ujian spesifik yang kompleks, penyumberluaran sampel ke KK Tamparuli telah pun dilaksanakan. Pengambilan darah pesakit dibuat di KK Simpangan dan dihantarkan ke makmal utama di KK Tamparuli. Sepanjang tahun 2025, sebanyak 801 sampel telah diterima dan dihantar dengan purata tiga hingga empat sampel sehari. Penghantaran dilakukan sebelum jam 12.00 tengah hari menggunakan kenderaan jabatan bagi memastikan kualiti sampel terjaga. Kini juga dilakukan seminggu sekali secara dalaman. Sekian, terima kasih Yang di-Pertua dan Yang Berhormat Tuaran."
4,5,"UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M.17) APAKAH STATUS PELAKSANAAN PERKHIDMATAN MAKMAL PATOLOGI, KLINIK KESIHATAN SIMPANGAN DAN PEJABAT KESIHATAN KAWASAN TUARAN",,chair,Timbalan Yang di-Pertua [Puan Alice Lau Kiong Yieng],,,Puan Alice Lau Kiong Yieng,Saya persilakan Yang Berhormat Tuaran untuk mengajukan pertanyaan.
5,5,"UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M.17) APAKAH STATUS PELAKSANAAN PERKHIDMATAN MAKMAL PATOLOGI, KLINIK KESIHATAN SIMPANGAN DAN PEJABAT KESIHATAN KAWASAN TUARAN",,member,Datuk Seri Panglima Madius bin Tangau [Tuaran],,Tuaran,Datuk Seri Panglima Madius bin Tangau,"Terima kasih Puan Yang di-Pertua dan terima kasih Yang Berhormat Menteri di atas jawapan sebentar tadi. Terima kasih juga kerana akhirnya makmal ini akan berfungsi sebagai makmal dan terima kasih kerana ada kakitangan juruteknologi yang akan dihantar ke situ. Pertanyaan tambahan saya begini. Ada andaian yang mengatakan bahawa kalau di Semenanjung, kalau ada kemudahan makmal seperti ini, Kementerian Kesihatan akan memastikan ada peralatan dan ada kakitangan setelah dia dibina. Tetapi kalau di Sabah dan di Sarawak, yang penting ialah dibina bangunan. Yang lain-lain tu belakang, macam inilah. Jadi, terpaksa kita tanya di Dewan Rakyat macam ni dulu baru dia baginya. Jadi, dari segi dasarnya, kalau ada kemudahan makmal seperti ini, bolehkah kementerian pastikan supaya ada bangunan, pastikan juga hantar kakitangan, pastikan juga peralatan ada sebab kalau tidak, dibuat bangunan nanti dah jadi stor. Jadi, adakah andaian itu betul ataupun ini memang keadaan yang berlaku di lapangan? Terima kasih."
6,6,"UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M.17) APAKAH STATUS PELAKSANAAN PERKHIDMATAN MAKMAL PATOLOGI, KLINIK KESIHATAN SIMPANGAN DAN PEJABAT KESIHATAN KAWASAN TUARAN",,chair,Timbalan Yang di-Pertua [Puan Alice Lau Kiong Yieng],,,Puan Alice Lau Kiong Yieng,Minta Yang Berhormat Menteri untuk menjawab.
7,6,"UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M.17) APAKAH STATUS PELAKSANAAN PERKHIDMATAN MAKMAL PATOLOGI, KLINIK KESIHATAN SIMPANGAN DAN PEJABAT KESIHATAN KAWASAN TUARAN",,member_or_minister,Dato Hajjah Hanifah Hajar Taib,,,Dato Hajjah Hanifah Hajar Taib,"Puan Yang di-Pertua, Yang Berhormat Tuaran. Kita beruntung mendapatkan dari segi perkhidmatan digital dan dari segi menggunakan artificial intelligence (AI), maka kita lagi di dalam proses untuk mempertingkatkan dari segi maklumat tu dan menyatukan, menyelenggarakan semua perkara-perkara yang harus kita satukan. Jadi, dengan harapan ini bahawa kemudian bila kita akan melaksanakan perancangan bangunan, ia akan disertakan juga dengan jawatan yang harus diselesaikan serta dengan peralatan kerana jikalau yang ini tidak disamakan, maka seperti yang telah dialami dulu di kebanyakan juga kawasan, ia tidak menjadi lengkap dan ia akan menjejaskan dari segi perkhidmatan kepada rakyat. Maka, harap bahawa kami dapat mempertingkatkan secepat yang boleh supaya ia juga bila telah selesai, maka ia memberikan lagi dari segi perkhidmatan dan kesihatan di perawalkan sebelum ia menjadi parah. Dan kita juga di dalam keadaan di mana kami ingin memastikan tiada orang tertinggal. Terima kasih YB Tuaran. Terima kasih Puan Yang di-Pertua. MASALAH KETIADAAN BEKALAN AIR TERAWAT DI KAMPUNG ULU BAKUT, TAMPARULI, TUARAN MELIBATKAN 72 BUAH RUMAH DENGAN 504 PENDUDUK 2.44 ptg."
8,6,"MASALAH KETIADAAN BEKALAN AIR TERAWAT DI KAMPUNG ULU BAKUT, TAMPARULI, TUARAN MELIBATKAN 72 BUAH RUMAH DENGAN 504 PENDUDUK",2.44 ptg.,member,Datuk Seri Panglima Madius bin Tangau [Tuaran],,Tuaran,Datuk Seri Panglima Madius bin Tangau,"Terima kasih Puan Yang di-Pertua. Kampung Ulu Bakut yang terletak di mukim Pantai, daerah kecil Tamparuli, Tuaran sudah sekian lama menghadapi gangguan bekalan air. Kampung ini terletak di Dewan Undangan Tamparuli, dalam kawasan Parlimen Tuaran, Sabah. Sumber utama bekalan air kampung ini hanya adalah daripada paip graviti. Kampung ini mempunyai 72 buah keluarga dengan 504 penduduk. 19 keluarga daripada 72 buah keluarga tersebut adalah terdiri daripada penduduk yang dipindahkan daripada Kampung Tambalugu akibat pembinaan Empangan Tambalugu. Selain daripada diberi pampasan tanah-tanah milik 12 keluarga, mereka juga di beri lot-lot tanah di Ulu Bakut dengan jaminan adanya bekalan air dan elektrik. Namun setelah 21 tahun, bekalan air terawat belum lagi dilaksanakan. Akibatnya Kampung Ulu Bakut masih lagi bergantung kepada air hujan dan membeli air daripada pembekal lori air persendirian apabila menghadapi masalah bekalan air. Selaku Ahli Parlimen, saya telah menulis surat kepada pihak Unit Perancang Ekonomi Negeri Sabah supaya Kampung Ulu Bakut di beri keutamaan untuk disenaraikan dibekalkan air terawat di bawah Program Bekalan Air Luar Bandar (BALB). Dalam kunjungan saya dan kakitangan Pusat Khidmat Rakyat Parlimen Tuaran ke UPE, kami dimaklumkan bahawa Kampung Ulu Bakut akan diutamakan dalam senarai pemberian BALB. Masalah ini telah menjejaskan kesihatan dan kehidupan penduduk kampung yang rata-rata hidup di bawah garis kemiskinan. Penduduk Kampung Ulu Bakut kecewa kerana kerajaan belum lagi melaksanakan jaminan untuk membekalkan air terawat. Mereka telah menunggu selama 21 tahun yang lepas, sedangkan Kampung Ulu Bakut ini hanya terletak 1.5 kilometer jaraknya dari Empangan Air Telibong, Tamparuli dan hanya 1.5 kilometer daripada paip utama Jabatan Air Tuaran. Tuaran mohon pencerahan apakah status projek di bawah Bekalan Air Luar Bandar (BALB) dengan peruntukan RM10 juta yang telah pun diluluskan oleh Kerajaan Persekutuan di dalam RMK12. Bilakah projek BALB tersebut akan dilaksanakan? Sekian, terima kasih."
9,7,"MASALAH KETIADAAN BEKALAN AIR TERAWAT DI KAMPUNG ULU BAKUT, TAMPARULI, TUARAN MELIBATKAN 72 BUAH RUMAH DENGAN 504 PENDUDUK",,chair,Timbalan Yang di-Pertua [Puan Alice Lau Kiong Yieng],,,Puan Alice Lau Kiong Yieng,Minta Yang Berhormat Menteri untuk menjawab. 2.46 ptg.
10,7,"MASALAH KETIADAAN BEKALAN AIR TERAWAT DI KAMPUNG ULU BAKUT, TAMPARULI, TUARAN MELIBATKAN 72 BUAH RUMAH DENGAN 504 PENDUDUK",2.46 ptg.,minister,Timbalan Menteri Kemajuan Desa dan Wilayah [Datuk Hajah Rubiah binti Haji Wang],Timbalan Menteri Kemajuan Desa dan Wilayah,,Datuk Hajah Rubiah binti Haji Wang,"Bismillahirrahmanirrahim. Assalamualaikum warahmatullahi wabarakatuh. Terima kasih Tuan Yang di-Pertua. Terima kasih YB Tuaran atas soalan kepada kementerian. Tuan Yang di-Pertua, untuk makluman Yang Berhormat, Projek Bekalan Air Luar Bandar (BALB) Kampung Bukit Giling dan Kampung Ulu Bakut, Tuaran, Sabah telah pun diluluskan di bawah Rolling Plan Pertama, tahun 2021, Rancangan Malaysia Kedua Belas dengan kos keseluruhan projek sebanyak RM12.1 juta. Surat Setuju Terima (SST) kontraktor projek adalah pada 17 Disember 2025, manakala tarikh milik tapak — tarikh masuk tapak adalah pada 12 Januari 2026. Projek ini sedang di peringkat awal pembinaan dan dijangka siap pada 12 Julai 2027. Skop projek melibatkan pembinaan tangki air, rumah pam serta kerjakerja pemasangan paip pelbagai jenis dan saiz. Sumber bekalan air bagi projek ini adalah daripada loji rawatan air sedia ada iaitu Loji Rawatan Air Telibong. Untuk makluman Yang Berhormat, projek ini bakal memberi manfaat kepada 124 buah rumah di kedua-dua kampung terlibat. Terima kasih Tuan Yang di-Pertua."
11,7,"MASALAH KETIADAAN BEKALAN AIR TERAWAT DI KAMPUNG ULU BAKUT, TAMPARULI, TUARAN MELIBATKAN 72 BUAH RUMAH DENGAN 504 PENDUDUK",,chair,Timbalan Yang di-Pertua [Puan Alice Lau Kiong Yieng],,,Puan Alice Lau Kiong Yieng,Saya persilakan Yang Berhormat Tuaran untuk mengajukan pertanyaan.
12,7,"MASALAH KETIADAAN BEKALAN AIR TERAWAT DI KAMPUNG ULU BAKUT, TAMPARULI, TUARAN MELIBATKAN 72 BUAH RUMAH DENGAN 504 PENDUDUK",,member,Datuk Seri Panglima Madius bin Tangau [Tuaran],,Tuaran,Datuk Seri Panglima Madius bin Tangau,"Terima kasih Puan Yang di-Pertua. Terima kasih Yang Berhormat Timbalan Menteri. Terima kasih di atas jawapan itu dan terima kasih kerana akhirnya dua kampung ini akan mendapat bekalan air terawat. Cabaran seterusnya ialah dari segi sumber air. Jadi, di kawasan Parlimen Tuaran, dia punya reserve margin negative. Memang kita kekurangan bekalan air — sumber air. Pertanyaan saya, adakah pihak kementerian membuat apa-apa kajian atau adakah projek-projek pembinaan loji rawatan di mana-mana tempat di kawasan Parlimen Tuaran untuk pastikan agar reserve margin itu dapat diselesaikan? Makna dia agar sumber air itu dapat ditingkatkan. Terima kasih."
13,16,"MASALAH KETIADAAN BEKALAN AIR TERAWAT DI KAMPUNG ULU BAKUT, TAMPARULI, TUARAN MELIBATKAN 72 BUAH RUMAH DENGAN 504 PENDUDUK",,chair,Timbalan Yang di-Pertua [Puan Alice Lau Kiong Yieng],,,Puan Alice Lau Kiong Yieng,Minta Yang Berhormat Menteri untuk menjawab.
14,8,"MASALAH KETIADAAN BEKALAN AIR TERAWAT DI KAMPUNG ULU BAKUT, TAMPARULI, TUARAN MELIBATKAN 72 BUAH RUMAH DENGAN 504 PENDUDUK",,member_or_minister,Datuk Hajah Rubiah binti Haji Wang,,,Datuk Hajah Rubiah binti Haji Wang,"Terima kasih atas soalan tambahan tadi. Tuan Yang di-Pertua, untuk makluman Yang Berhormat juga, dalam usaha kementerian memperluas liputan bilangan rumah pengguna baharu yang akan menerima bekalan air bersih dan terawat, pertimbangan terhadap ketersediaan bekalan air yang stabil dan mencukupi turut diberikan keutamaan. ■1450 Pelaksanaan projek BALB boleh dilaksanakan dengan tiga cara: (i) secara late applicant iaitu penyambungan paip retikulasi kepada pengguna baharu daripada jajaran paip sedia ada; (ii) melalui projek sistem retikulasi yang khusus untuk sesuatu kawasan bagi manfaat pengguna baharu dengan mengambil bekalan air daripada loji rawatan air sedia ada; atau (iii) menaik taraf loji sedia ada atau membina sebuah sistem bekalan air baharu yang lengkap termasuk pembinaan muka sauk, loji rawatan air, tangki simpanan, rumah pam dan sistem perpaipan dan mana sumber air terawat tidak tersedia atau sekiranya reserve margin daripada LRA sedia ada tidak mencukupi. Berdasarkan maklumat yang diperolehi dari Jabatan Air Sabah, kapasiti semasa loji air sedia ada adalah seperti berikut: (i) Loji Rawatan Air Telibong 1 adalah sebanyak 70 juta liter sehari yang mana 60 juta liter sehari untuk Tuaran dan 10 juta liter sehari untuk Kota Kinabalu; (ii) LRA Telibong 2 Fasa 1. Ada satu lagi Yang Berhormat. Adalah sebanyak 80 juta liter sehari yang mana 10 peratus untuk Tuaran, 90 peratus untuk Kota Kinabalu. Berkaitan dengan kebimbangan Yang Berhormat mengenai rizab margin bagi Tuaran, pengiraan semasa menunjukkan bahawa perkara tersebut telah diambil perhatian oleh Jabatan Air Sabah. Pada masa ini, Jabatan Air Sabah sedang giat melaksanakan projek LRA Telibong 2 Fasa 2 yang dibiayai secara pinjaman di bawah Kementerian Peralihan Tenaga dan Transformasi Air (PETRA) dengan kapasiti sebanyak 80 juta liter sehari. Projek ini dijangka siap sepenuhnya tahun 2028. Apabila ia siap kelak, ia akan memberi manfaat kepada Tuaran dan juga Kota Kinabalu melalui pengezonan semula bekalan air serta pengurusan bekalan air bagi kedua-dua kawasan berkenaan. Terima kasih Tuan Yang diPertua. ISU KESELAMATAN JALAN RAYA DI JALAN BANGI – KAJANG DAN PERSIARAN PEKELILING 2.53 ptg."
